ZDMC,ZFY
原发性骨髓纤维化,14469.48
双侧腹股沟斜疝,2604.18
双相情感障碍,1977.2666666666667
双相情感障碍，目前为不伴有精神病性症状的躁狂发作,11718.61
双胎输血综合征,1336.47
反流性食管炎,8015.775000000001
发作性睡病,1688.26
发热,1341.0648684210523
发热待查,37.858
发热性惊厥,1045.17
发育指标延迟,2031.98
发育迟滞,2463.47
发育障碍,3143.12
发育障碍，其他学习技能,1278.9276923076925
取除外固定装置,3762.57
取除输尿管支架,2025.74
取除骨折内固定装置,1756.775
变应性关节炎,293.28
变应性胃炎,942.67
变应性鼻炎,53.53
口咽恶性肿瘤,2432.79
口腔囊肿,1507.09
口腔感染,358.305
口腔炎,1312.12
口腔肿物,6226.15
口腔表皮样囊肿,449.74
可疑冠心病观察,19.39
右肺中叶恶性肿瘤,2397.76
右肺癌,6895.01
吉兰-巴雷［格林-巴利］综合征,36640.43
后天性肾囊肿,29.45
后循环缺血,2645.935
听觉丧失,2152.59
吸入性肺炎,2383.07
呕吐,4219.55
周围神经病,1429.69
呼吸暂停,4037.81
呼吸衰竭,11241.323333333334
呼吸道合胞体病毒肺炎,6677.36
呼吸道感染,14.606666666666667
咯血,1980.15
咳嗽,183.33961538461537
咳嗽变异性哮喘,3.69
咽内异物,21.133333333333333
咽喉痛,14.75
咽恶性肿瘤,39691.84
咽炎,5.76
咽鼓管疾患,1530.76
哭闹,7633.49
哮喘,4058.24
哮喘性支气管炎,667.86
唇裂_单侧完全唇裂修复术,3320.26
喉恶性肿瘤,6672.97
喉炎,608.9449999999999
喉肿物,3466.86
喘息性支气管肺炎,619.4
嗜血杆菌脑膜炎,583.9699999999999
器官移植患者的抗排异治疗,4490.56
器官移植术后抗排异治,151.56
器官移植术后抗排异治疗,6695.557777777779
噬血细胞综合征,4347.6175
坐骨神经痛,683.02
垂体性侏儒症,3758.115
垂体瘤（催乳素瘤）,816.405
垂体肿瘤,2355.02
垂体良性肿瘤,9184.7
埋伏牙,1493.18
基底节出血,4721.99
声带肿物,3466.19
复杂性肛瘘,3293.32
夏科关节病,1849.15
外上唇恶性肿瘤,7.93
外伤,28.080000000000002
外伤性白内障,4057.14
外周血干细胞移植,2186.23
外周血干细胞移植术后抗排异治疗,4225.07
外痔,3504.52
外耳特指疾患,7119.46
外耳道炎,4193.19
外踝骨折,3564.195
外阴恶性肿瘤,8826.95
外阴肿物,489.96
多个部位特指急性上呼吸道感染,9.181000000000001
多动性障碍,6757.45
多发性撕裂伤,47.57
多发性硬化,214.175
多发性脑梗死,551.68
多发性脑梗死!!,827.71
多发性颅神经损害,2975.71
多发性骨髓瘤,8410.8
多囊肾,1841.77
多处挫伤,4840.43
多处烧伤,221.22250000000003
多手指完全切断,2985.4
多指,4244.57
大动脉炎,2357.63
大叶性肺炎,2239.542
大田原综合征,7842.54
大脑动脉狭窄脑梗死,1602.5
大脑动脉闭塞或狭窄引起脑梗死,2344.87
大脑动脉闭塞脑梗死,1302.01
大隐静脉曲张,3555.755
头晕,2370.3931250000005
头晕和眩晕,344.26343749999995
头痛,371.68122448979585
头皮裂伤,1180.4
头部外伤,22.582222222222228
头部的损伤,3343.11
头面颈部皮肤感染,802.1
头颈皮脂腺囊肿,1052.8
女性盆腔炎,906.7270000000001
女性盆腔炎性疾病,17.8
妇科检查,40.92
妊娠剧吐伴有代谢紊乱,1060.1799999999998
妊娠合并子宫瘢痕,1949.815
妊娠合并宫颈机能不全,1562.36
妊娠合并心脏病,10416.41
妊娠合并滴虫性阴道炎,18.22
妊娠合并高血压病,806.8
妊娠期短暂性高血压,2394.14
妊娠期糖尿病,1025.56
